nombre,urlAT,derivadas,urlF,categoríaF
Gansos,https://www.alternativateatral.com//obra74685-gansos,"/obra74685-gansos, /obra54414-los-gansos-graznan-un-rato-y-se-callan, /obra13818-trenes--y--gansos",https://farsamag.com/obras/gansos/,Reseña
Las oceánicas,https://www.alternativateatral.com//obra74192-las-oceanicas,/obra74192-las-oceanicas,https://farsamag.com/obras/las-oceanicas/,Reseña
"Lorca, el teatro bajo la arena",https://www.alternativateatral.com//obra78212-lorca-el-teatro-bajo-la-arena,/obra78212-lorca-el-teatro-bajo-la-arena,https://farsamag.com/obras/lorca-el-teatro-bajo-la-arena/,Imperdible
A Chorus Line,https://www.alternativateatral.com//obra63013-chorus-line,"/obra64382-a-chorus-line, /obra63013-chorus-line",https://farsamag.com/obras/a-chorus-line/,Reseña
Impalpable,https://www.alternativateatral.com//obra21551-impalpable,"/obra21551-impalpable, /obra9731-la-madre-impalpable",https://farsamag.com/obras/impalpable/,Destacada
Este verano te mato,https://www.alternativateatral.com//obra48652-este-verano-te-mato,/obra48652-este-verano-te-mato,https://farsamag.com/obras/este-verano-te-mato/,Reseña
Orillera,https://www.alternativateatral.com//obra64512-orillera,"/obra64512-orillera, /obra67816-noches-orilleras-vol-3, /obra67222-noches-orilleras-vol-2, /obra66591-noches-orilleras-vol1, /obra68294-noches-orilleras-vol4, /obra51331-danzas-orillera, /obra35971-patricio-villarejo-las-musas-orilleras, /obra33120-la-orillera, /obra22989-musas-orilleras, /obra8477-cronicas-orilleras, /obra1791-evocacion-orillera",https://farsamag.com/obras/orillera/,Reseña
Dirección desconocida,https://www.alternativateatral.com//obra78746-direccion-desconocida,/obra78746-direccion-desconocida,https://farsamag.com/obras/direccion-desconocida/,Reseña
Potestad,https://www.alternativateatral.com//obra65750-potestad,"/obra28963-potestad, /obra1286-potestad, /obra65750-potestad, /obra16061-potestad, /obra59644-potestad, /obra35882-potestad, /obra13426-potestad, /obra29829-potestad, /obra30331-potestad, /obra26907-potestad, /obra516-potestad, /obra15849-potestad, /obra15920-potestad, /obra7446-potestad, /obra9436-potestad, /obra4699-potestad, /obra70646-potestad, /obra35535-potestad, /obra32203-max-y-lowrey-potestad, /obra17752-potestad-el-ultimo-verso",https://farsamag.com/obras/potestad/,Destacada
La culpa de nada,https://www.alternativateatral.com//obra43302-la-culpa-de-nada,/obra43302-la-culpa-de-nada,https://farsamag.com/obras/la-culpa-de-nada/,Destacada
Desertoras,https://www.alternativateatral.com//obra74699-desertoras,/obra74699-desertoras,https://farsamag.com/obras/desertoras/,Destacada
El mundo es más fuerte que yo,https://www.alternativateatral.com//obra50839-el-mundo-es-mas-fuerte-que-yo,/obra50839-el-mundo-es-mas-fuerte-que-yo,https://farsamag.com/obras/el-mundo-es-mas-fuerte-que-yo/,Reseña
Protocolar,https://www.alternativateatral.com//obra54251-protocolar,/obra54251-protocolar,https://farsamag.com/obras/protocolar/,Reseña
El efecto de los rayos gamma sobre las caléndulas,https://www.alternativateatral.com//obra42743-el-efecto-de-los-rayos-gamma-sobre-las-calendulas,"/obra42743-el-efecto-de-los-rayos-gamma-sobre-las-calendulas, /obra35514-el-efecto-de-los-rayos-gamma-sobre-las-calendulas, /obra71282-el-efecto-de-los-rayos-gamma-sobre-las-calendulas",https://farsamag.com/obras/el-efecto-de-los-rayos-gamma-sobre-las-calendulas/,Reseña
Pampa Escarlata,https://www.alternativateatral.com//obra70626-pampa-escarlata,/obra70626-pampa-escarlata,https://farsamag.com/obras/pampa-escarlata/,Imperdible
Un rincón en el mundo,https://www.alternativateatral.com//obra60566-un-rincon-en-el-mundo,/obra60566-un-rincon-en-el-mundo,https://farsamag.com/obras/un-rincon-en-el-mundo/,Reseña
La obra pública,https://www.alternativateatral.com//obra75305-la-/obra-publica,/obra75305-la-/obra-publica,https://farsamag.com/obras/la-obra-publica/,Destacada
Proyecto Posadas,https://www.alternativateatral.com//obra28566-proyecto-posadas,"/obra69702-proyecto-posadas, /obra28566-proyecto-posadas",https://farsamag.com/obras/proyecto-posadas/,Destacada
Las Cautivas,https://www.alternativateatral.com//obra75779-las-cautivas,"/obra75779-las-cautivas, /obra74450-las-cautivas",https://farsamag.com/obras/las-cautivas/,Imperdible
"La voluntad, teatro a distancia",https://www.alternativateatral.com//obra57287-la-voluntad-teatro-a-distancia,"/obra57287-la-voluntad-teatro-a-distancia, /obra33742-la-voluntad-teatro-a-distancia",https://farsamag.com/obras/la-voluntad-teatro-a-distancia/,Reseña
Un trabajo,https://www.alternativateatral.com//obra36815-un-trabajo,"/obra36815-un-trabajo, /obra45790-el-barco-un-trabajo-en-proceso-de-creacion, /obra29502-trabajos-de-poeta-y-informe-para-una-academia, /obra28946-el-ocaso-de-la-causa-trabajo-en-proceso-adelanto-de-una-tesina, /obra25500-la-oficina-hacemos-un-buen-trabajo, /obra71535-un-trabajo-fabuloso",https://farsamag.com/obras/un-trabajo/,Destacada
No hay banda,https://www.alternativateatral.com//obra77155-no-hay-banda,/obra77155-no-hay-banda,https://farsamag.com/obras/no-hay-banda/,Reseña
Como vaca mirando un tren,https://www.alternativateatral.com//obra76025-como-vaca-mirando-un-tren,/obra76025-como-vaca-mirando-un-tren,https://farsamag.com/obras/como-vaca-mirando-un-tren/,Reseña
El paraíso perdido,https://www.alternativateatral.com//obra37445-el-paraiso-perdido,"/obra37445-el-paraiso-perdido, /obra64890-la-trampa-del-paraiso-perdido",https://farsamag.com/obras/el-paraiso-perdido/,Destacada
Las cargas,https://www.alternativateatral.com//obra70670-las-cargas,/obra70670-las-cargas,https://farsamag.com/obras/las-cargas/,Reseña
Hamlet,https://www.alternativateatral.com//obra64474-hamlet,"/obra77378-hamlet, /obra80192-ellas-hamlet, /obra64474-hamlet, /obra31980-hamlet, /obra61418-hamlet, /obra58498-hamlet, /obra57630-hamlet, /obra62793-hamlet, /obra32798-hamlet, /obra37212-hamlet, /obra67133-hamlet, /obra44013-hamlet, /obra43718-hamlet, /obra52033-hamlet, /obra43377-hamlet, /obra45562-hamlet, /obra54744-hamlet, /obra71782-hamlet, /obra49469-hamlet, /obra49454-hamlet, /obra47948-hamlet, /obra74441-maten-a-hamlet, /obra78154-hamlet-o-la-destruccion, /obra55648-hamlet-no-es-su-propio-primo, /obra42753-origen-hamlet, /obra73268-yo-soy-hamlet, /obra70686-los-bardos-de-hamlet, /obra73519-bailemos-sobre-las-cenizas-hamlet, /obra52490-ho-variaciones-arbitrarias-sobre-hamlet, /obra47498-break-hamlet, /obra50756-hamlet-principe-de-barracas, /obra66312-tragedia-inadaptada-de-hamlet, /obra71603-hamlet-en-the-globe, /obra71943-hoy-hamlet-hoy, /obra71523-joaquin-furriel-monologo-en-vivo-de-hamlet, /obra57925-hamlet-la-herencia-de-la-carne, /obra33762-46xx-variaciones-hamlet, /obra52212-hamlet-la-maldicion-de-ser, /obra48744-malambo-esoterico-looking-for-hamlet, /obra59487-hamlet-bardo, /obra61458-no-tan-hamlet, /obra56009-yo-ella-hamlet-mi-padre-hamlet-diosa-4, /obra41310-hamlet-episodios-de-la-ratonera-nacional, /obra49523-hamlet-ruso, /obra53370-hamlet-the-musical, /obra50190-cielo-es-una-maquina-hamlet-esta-muerto-sin-fuerza-de-gravedad, /obra53936-to-be-or-not-to-be-un-recorrido-sobre-hamlet, /obra33482-hamlet-esta-muerto-sin-fuerza-de-gravedad, /obra33102-nino-en-estado-adulto-nieve-que-arde-o-lo-que-quedo-de-hamlet, /obra38066-hamlet-duele-o-el-eco-de-los-aplausos-que-ya-no-resuenan, /obra39534-hamlet-national-theatre-live, /obra33722-ser-o-no-ser-hamlet, /obra38085-un-hamlet, /obra32696-hamlet-de-los-andes, /obra31982-hamlet-tango-14, /obra33666-hamlet-shakespeares-globe-theatre, /obra29668-big-hamlet, /obra26981-la-madre-de-hamlet, /obra34507-maquina-hamlet, /obra35544-hamlet-y-macbeth-otra-version, /obra44741-no-hay-piedad-para-hamlet, /obra35709-el-hamlet-del-barrio-judio, /obra71222-hamlet-amleto, /obra50393-hamlet, /obra49415-hamlet, /obra57602-hamlet, /obra49718-hamlet, /obra30508-hamlet, /obra64905-hamlet, /obra50733-hamlet",https://farsamag.com/obras/hamlet/,Imperdible
El bululú. Antología endiablada,https://www.alternativateatral.com//obra17231-el-bululu-antologia-endiablada,/obra17231-el-bululu-antologia-endiablada,https://farsamag.com/obras/el-bululu-antologia-endiablada/,Imperdible
Menea para mí,https://www.alternativateatral.com//obra33399-menea-para-mi,/obra33399-menea-para-mi,https://farsamag.com/obras/menea-para-mi/,Destacada
Rayito de sol,https://www.alternativateatral.com//obra55037-rayito-de-sol,"/obra55037-rayito-de-sol, /obra50667-rayito-de-sol",https://farsamag.com/obras/rayito-de-sol/,Reseña
OlvídAME,https://www.alternativateatral.com//obra75386-olvidame,/obra75386-olvidame,https://farsamag.com/obras/olvidame/,Reseña
Pundonor,https://www.alternativateatral.com//obra58745-pundonor,/obra58745-pundonor,https://farsamag.com/obras/pundonor/,Imperdible
Terrenal,https://www.alternativateatral.com//obra32723-terrenal,/obra67638-festival-teatroxlaidentidad-terrenal-pequeno-misterio-acrata,https://farsamag.com/obras/terrenal-pequeno-misterio-acrata/,Imperdible
El puente azul,https://www.alternativateatral.com//obra53631-el-puente-azul,/obra53631-el-puente-azul,https://farsamag.com/obras/el-puente-azul/,Reseña
Reinas abolladas,https://www.alternativateatral.com//obra74530-reinas-abolladas,/obra74530-reinas-abolladas,https://farsamag.com/obras/reinas-abolladas/,Reseña
Enamorarse es hablar corto y enredado,https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,/obra40097-enamorarse-es-hablar-corto-y-enredado,https://farsamag.com/obras/enamorarse-es-hablar-corto-y-enredado/,Reseña
Jíjop,https://www.alternativateatral.com//obra78555-jijop-una-historia-bailada,/obra78555-jijop-una-historia-bailada,https://farsamag.com/obras/jijop/,Reseña
Experiencia I: La persona deprimida,https://www.alternativateatral.com//obra66693-experiencia-i-la-persona-deprimida,/obra66693-experiencia-i-la-persona-deprimida,https://farsamag.com/obras/experiencia-i-la-persona-deprimida/,Reseña
Que todas las vaquitas de Argentina griten Mu,https://www.alternativateatral.com//obra63700-que-todas-las-vaquitas-de-argentina-griten-mu-grupo-minimo,/obra63700-que-todas-las-vaquitas-de-argentina-griten-mu-grupo-minimo,https://farsamag.com/obras/que-todas-las-vaquitas-de-argentina-griten-mu/,Destacada
"Piedra sentada, pata corrida",https://www.alternativateatral.com//obra28891-piedra-sentada-pata-corrida,"/obra28891-piedra-sentada-pata-corrida, /obra45268-piedra-sentada-pata-corrida-farsa-civilizatoria",https://farsamag.com/obras/piedra-sentada-pata-corrida/,Destacada
La omisión de la familia Coleman,https://www.alternativateatral.com//obra4926-la-omision-de-la-familia-coleman,"/obra4926-la-omision-de-la-familia-coleman, /obra71559-teatro-online-la-omision-de-la-familia-coleman",https://farsamag.com/obras/la-omision-de-la-familia-coleman/,Reseña
El loco y la camisa,https://www.alternativateatral.com//obra15117-el-loco-y-la-camisa,/obra15117-el-loco-y-la-camisa,https://farsamag.com/obras/el-loco-y-la-camisa/,Imperdible
Astronautas,https://www.alternativateatral.com//obra57982-astronautas,"/obra63056-asstronautas, /obra57982-astronautas",https://farsamag.com/obras/astronautas/,Reseña
Christiane. Un Bio-musical Científico,https://www.alternativateatral.com//obra47548-christiane-un-biomusical-cientifico,"/obra47548-christiane-un-biomusical-cientifico, /obra78310-christiane-un-biomusical-cientifico",https://farsamag.com/obras/christiane-un-bio-musical-cientifico/,Destacada
Rosa brillando,https://www.alternativateatral.com//obra18246-rosa-brillando,/obra18246-rosa-brillando,https://farsamag.com/obras/rosa-brillando/,Destacada
Los días de la fragilidad,https://www.alternativateatral.com//obra59952-los-dias-de-la-fragilidad,/obra59952-los-dias-de-la-fragilidad,https://farsamag.com/obras/los-dias-de-la-fragilidad/,Imperdible
Una obra para mí,https://www.alternativateatral.com//obra75809-una-/obra-para-mi,/obra75809-una-/obra-para-mi,https://farsamag.com/obras/una-obra-para-mi/,Destacada
Habitación Macbeth,https://www.alternativateatral.com//obra74405-habitacion-macbeth,/obra74405-habitacion-macbeth,https://farsamag.com/obras/habitacion-macbeth/,Imperdible
Como si pasara un tren,https://www.alternativateatral.com//obra37490-como-si-pasara-un-tren,"/obra37490-como-si-pasara-un-tren, /obra63237-como-si-pasara-un-tren-fiba",https://farsamag.com/obras/como-si-pasara-un-tren/,Destacada
Conurbano cotidiano,https://www.alternativateatral.com//obra79559-conurbano-cotidiano,/obra79559-conurbano-cotidiano,https://farsamag.com/obras/conurbano-cotidiano/,Destacada
Luz Testigo,https://www.alternativateatral.com//obra75040-luz-testigo,/obra75040-luz-testigo,https://farsamag.com/obras/luz-testigo/,Reseña
Cosas pesadas caen,https://www.alternativateatral.com//obra70052-cosas-pesadas-caen,/obra70052-cosas-pesadas-caen,https://farsamag.com/obras/cosas-pesadas-caen/,Reseña
Captura de aves silvestres,https://www.alternativateatral.com//obra73936-captura-de-aves-silvestres,/obra73936-captura-de-aves-silvestres,https://farsamag.com/obras/captura-de-aves-silvestres/,Destacada
