nombre,urlAT,derivadas,categoríaLN
Las manos de Eduviges al momento del nacer,https://www.alternativateatral.com//obra81365-las-manos-de-eduviges-al-momento-de-nacer,,3
El mecanismo de Alaska,https://www.alternativateatral.com//obra79789-el-mecanismo-de-alaska,obra79789-el-mecanismo-de-alaska,3
Obra del demonio,https://www.alternativateatral.com//obra80250-obra-del-demonio-invocacion-xi-bausch,obra80250-obra-del-demonio-invocacion-xi-bausch,5
Metrochenta,https://www.alternativateatral.com//obra79052-metrochenta,obra79052-metrochenta,4
Pequeña Pamela,https://www.alternativateatral.com//obra78547-pequena-pamela,obra78547-pequena-pamela,2
Glory Wall,,,2
La Méridienne,,,3
Love me,,"obra82150-love-me,obra39142-love-me-do,obra56415-latinoamerican-love,obra25909-to-mexico-with-love,obra15556-first-love-primer-amor",4
MB#6,,,3
L’Avenir/El porvenir,,,2
Hoy bailamos para siempre,https://www.alternativateatral.com//obra76827-hoy-bailamos-para-siempre,obra76827-hoy-bailamos-para-siempre,4
Boquitas pintadas,,"obra41373-boquitas-pintadas,obra11445-boquitas-pintadas",4
Los nacimientos,,"obra67150-los-nacimientos,obra65613-ensayo-abierto-i-los-nacimientos",4
La vida sin ficción,https://www.alternativateatral.com//obra80289-la-vida-sin-ficcion,obra80289-la-vida-sin-ficcion,4
La madre de la patria,https://www.alternativateatral.com//obra80336-la-madre-de-la-patria,obra80336-la-madre-de-la-patria,3
El silencio de la carne,https://www.alternativateatral.com//obra79626-el-silencio-de-la-carne,obra79626-el-silencio-de-la-carne,4
Proyecto Frankenstein,https://www.alternativateatral.com//obra79518-proyecto-frankenstein,obra79518-proyecto-frankenstein,4
Tick Tick Boom,,"obra63966-kaboom-tertulia-de-poeticas-personales,obra24453-tick-tick-boom",4
El parador de Valeria 2,,"obra52291-el-nuevo-parador-de-valeria,obra35879-el-parador-de-valeria",4
Gigante,https://www.alternativateatral.com//obra78613-gigante,"obra78613-gigante,obra78401-gigantes-de-la-musica,obra78223-el-mono-gigante-king-kong,obra71802-la-gigantea,obra64000-el-gigante-amapolas-y-sus-formidables-enemigos-o-sea-fastos-dramaticos-de-una-guerra-memorable-recargado,obra60447-pequenos-gigantes,obra58792-orourke-se-enfrenta-al-pulpo-gigante,obra51619-magof-museo-ambulante-de-gigantes-y-otras-fieras,obra52375-burbujas-a-la-carta-show-de-burbujas-gigantes,obra36329-la-gigante-roja,obra14902-la-historia-del-gigante,obra23368-el-gigante-amapolas,obra29385-gigantes-del-flamenco,obra28892-ciclo-de-cena-cine-los-gigantes,obra18749-el-gigante-amapolas,obra25543-los-gigantes-de-las-montanas,obra23357-pequenos-y-gigantes,obra30268-una-historia-gigante-por-contar,obra19247-el-gigante-de-amapolas-y-sus-formidables-enemigos,obra22299-gigante-amapolas,obra20753-el-gigante-egoista,obra16320-el-gigante-amapolas-y-sus-fabulosos-enemigos,obra4832-el-gigante-amapolas,obra11496-el-gigante-amapolas,obra12616-el-gigante-amapolas,obra12401-de-lecheros-y-gigantes,obra9438-el-gigante-amapolas,obra5701-suenos-de-gigantes,obra10792-el-gigante-amapolas,obra61635-una-vez-un-gigante,obra63003-pinocho-y-los-munecos-gigantes,obra46805-el-gigante-pomelo,obra43025-aventuras-de-pitiri-y-el-gigante-tragavientos,obra46389-el-gigante,obra48525-estatua-arlequin-o-fantasma-gigante-de-16-pies-de-alto,obra46456-gigantezca-monstruosa-aventura,obra48811-el-gigante-amapolas,obra49308-jack-el-matador-de-gigantes",4
Las irresponsables,,,4
"Claudio, el cuento del tío",https://www.alternativateatral.com//obra75895-claudio-el-cuento-del-tio,obra75895-claudio-el-cuento-del-tio,4
Pieza para maniquíes y un actor de reparto,https://www.alternativateatral.com//obra74477-pieza-para-maniquies-y-un-actor-de-reparto,"obra74477-pieza-para-maniquies-y-un-actor-de-reparto,obra32746-pieza-para-maniquies-y-un-actor-de-reparto-documental-sobre-el-silencio",3
Le Scriptographe,,,4
Más tropiezos de Mastropiero,https://www.alternativateatral.com//obra71870-les-luthiers-mas-tropiezos-de-mastropiero,obra71870-les-luthiers-mas-tropiezos-de-mastropiero,5
Carniceros de la lírica,https://www.alternativateatral.com//obra77458-carniceros-de-la-lirica,obra77458-carniceros-de-la-lirica,4
La gran renuncia,https://www.alternativateatral.com//obra81563-la-gran-renuncia,obra81563-la-gran-renuncia,3
Azul y la Navidad,https://www.alternativateatral.com//obra79561-azul-y-la-navidad,obra79561-azul-y-la-navidad,4
Seres imaginarios de Borges,https://www.alternativateatral.com//obra20791-borges-para-ninos-el-libro-de-los-seres-imaginarios,obra20791-borges-para-ninos-el-libro-de-los-seres-imaginarios,4
Familia no tipo y la nube maligna,https://www.alternativateatral.com//obra79548-familia-no-tipo-y-la-nube-maligna,obra79548-familia-no-tipo-y-la-nube-maligna,4
Shrek,,"obra82310-shrek-mejor-afuera-que-adentro,obra35680-shrek-el-musical",4
Canticuénticos,,"obra56452-canticuenticos,obra34898-canticuenticos-en-concierto",4
Ensueños,,"obra68808-ensuenos,obra31474-ensuenos,obra57176-los-ensuenos-de-la-balalaika,obra9538-ensuenos-juana-azurduy,obra58781-hay-ensuenos-que-son-mulas,obra15501-ensuenos",4
Disney on Ice,https://www.alternativateatral.com//obra56470-el-maravilloso-mundo-de-disney-on-ice,obra56470-el-maravilloso-mundo-de-disney-on-ice,4
La diosa de la fortuna,https://www.alternativateatral.com//obra82445-la-diosa-de-la-fortuna,obra82445-la-diosa-de-la-fortuna,3
Tijeras salvajes,https://www.alternativateatral.com//obra82089-tijeras-salvajes,obra82089-tijeras-salvajes,3
Afterglow,https://www.alternativateatral.com//obra80039-afterglow,obra80039-afterglow,3
Regreso en Patagonia,,,4
La Pathétique,,,5
Una película sin Julie,https://www.alternativateatral.com//obra79630-una-pelicula-sin-julie,obra79630-una-pelicula-sin-julie,4
Network,https://www.alternativateatral.com//obra78848-network,obra78848-network,4
Despojo,,"obra79593-despojo-una-comedia-familiarmente-bipolar,obra37794-despojos,obra53240-despojos-prehistoria,obra49633-duos-en-tres-despojos-horario-de-descarga,obra37798-despojos-las-ganas,obra6386-el-despojo,obra645-el-origen-del-despojo,obra45234-despojo-para-medea,obra6169-ciclo-teatral-en-made-in-despojo",4
"Discepolín, fanático arlequín",https://www.alternativateatral.com//obra74582-discepolin-fanatico-arlequin,obra74582-discepolin-fanatico-arlequin,3
Los 39 escalones,,"obra82204-los-39-escalones,obra17108-los-39-escalones,obra24905-los-39-escalones",3
Cobra K,,"obra51710-ciclo-220-lumens-kobra-kei,obra42158-cuentos-que-cobran-vida,obra37338-el-regreso-de-la-cobra,obra13495-bienvenidos-al-banquete-no-cobramos-cubierto,obra63555-por-estar-aqui-este-obrero-cobra-el-doble-de-lo-que-recibiria-por-ocho-horas-de-su-trabajo,obra49087-perder-y-cobrar-el-cetro-o-luis-xv,obra48303-cobrar-en-vida-lo-gastado-en-entierro",3
Laponia,https://www.alternativateatral.com//obra79998-laponia,obra79998-laponia,5
