url,nombre,categoría,derivadas,derivadaRevisada
https://farsamag.com/obras/gansos/,Gansos,Reseña,"/obra74685-gansos, /obra54414-los-gansos-graznan-un-rato-y-se-callan, /obra13818-trenes--y--gansos",False
https://farsamag.com/obras/las-oceanicas/,Las oceánicas,Reseña,/obra74192-las-oceanicas,False
https://farsamag.com/obras/lorca-el-teatro-bajo-la-arena/,"Lorca, el teatro bajo la arena",Imperdible,/obra78212-lorca-el-teatro-bajo-la-arena,False
https://farsamag.com/obras/a-chorus-line/,A Chorus Line,Reseña,"/obra64382-a-chorus-line, /obra63013-chorus-line",False
https://farsamag.com/obras/impalpable/,Impalpable,Destacada,"/obra21551-impalpable, /obra9731-la-madre-impalpable",False
https://farsamag.com/obras/este-verano-te-mato/,Este verano te mato,Reseña,/obra48652-este-verano-te-mato,False
https://farsamag.com/obras/orillera/,Orillera,Reseña,"/obra64512-orillera, /obra67816-noches-orilleras-vol-3, /obra67222-noches-orilleras-vol-2, /obra66591-noches-orilleras-vol1, /obra68294-noches-orilleras-vol4, /obra51331-danzas-orillera, /obra35971-patricio-villarejo-las-musas-orilleras, /obra33120-la-orillera, /obra22989-musas-orilleras, /obra8477-cronicas-orilleras, /obra1791-evocacion-orillera",False
https://farsamag.com/obras/direccion-desconocida/,Dirección desconocida,Reseña,/obra78746-direccion-desconocida,False
https://farsamag.com/obras/potestad/,Potestad,Destacada,"/obra28963-potestad, /obra1286-potestad, /obra65750-potestad, /obra16061-potestad, /obra59644-potestad, /obra35882-potestad, /obra13426-potestad, /obra29829-potestad, /obra30331-potestad, /obra26907-potestad, /obra516-potestad, /obra15849-potestad, /obra15920-potestad, /obra7446-potestad, /obra9436-potestad, /obra4699-potestad, /obra70646-potestad, /obra35535-potestad, /obra32203-max-y-lowrey-potestad, /obra17752-potestad-el-ultimo-verso",False
https://farsamag.com/obras/la-culpa-de-nada/,La culpa de nada,Destacada,/obra43302-la-culpa-de-nada,False
https://farsamag.com/obras/desertoras/,Desertoras,Destacada,/obra74699-desertoras,False
https://farsamag.com/obras/el-mundo-es-mas-fuerte-que-yo/,El mundo es más fuerte que yo,Reseña,/obra50839-el-mundo-es-mas-fuerte-que-yo,False
https://farsamag.com/obras/protocolar/,Protocolar,Reseña,/obra54251-protocolar,False
https://farsamag.com/obras/el-efecto-de-los-rayos-gamma-sobre-las-calendulas/,El efecto de los rayos gamma sobre las caléndulas,Reseña,"/obra42743-el-efecto-de-los-rayos-gamma-sobre-las-calendulas, /obra35514-el-efecto-de-los-rayos-gamma-sobre-las-calendulas, /obra71282-el-efecto-de-los-rayos-gamma-sobre-las-calendulas",False
https://farsamag.com/obras/pampa-escarlata/,Pampa Escarlata,Imperdible,/obra70626-pampa-escarlata,False
